,song_title,artists,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,song_and_artist
9450,she's all i wanna be,Tate McRae,0IuVhCflrQPMGRrOyoY5RW,0.614,0.644,2,-5.372000000000001,0,0.0426,0.0134,7.07e-06,0.11699999999999999,0.6509999999999999,160.036,206772,she's all i wanna be - Tate McRae
9451,that way,Tate McRae,7l97ElWmIdVHWUaOeeU5ZC,0.45299999999999996,0.38299999999999995,0,-11.015,1,0.163,0.728,0.0,0.387,0.33299999999999996,105.029,175027,that way - Tate McRae
9452,baby,Madison Beer,1X4ZkhlRRohkV33cITaJYs,0.705,0.7070000000000001,0,-5.1739999999999995,1,0.0534,0.0799,0.0,0.149,0.452,117.97399999999999,207734,Baby - Madison Beer
9453,girls like girls,Hayley Kiyoko,3dNjUFt6EFU4Gq6Q5vfJqf,0.611,0.701,6,-5.235,1,0.0248,0.0109,9.83e-06,0.0994,0.604,142.02700000000002,229656,Girls Like Girls - Hayley Kiyoko
9454,fool,Cavetown,7asyVbwQE7IbA3x2be7bdI,0.675,0.46399999999999997,1,-9.277000000000001,1,0.151,0.0635,0.073,0.0711,0.129,79.55,233785,Fool - Cavetown
9455,boys like you - acoustic,Anna Clendening,51xRMJFRBrW9C1RI1qW4S0,0.47700000000000004,0.128,2,-14.567,1,0.0707,0.9279999999999999,0.0,0.0875,0.38,88.917,238576,Boys Like You - Acoustic - Anna Clendening
9456,slow dance (feat. ava max),AJ Mitchell,0zdQxu4k1jGlT2VxDokAcX,0.6729999999999999,0.405,1,-7.6610000000000005,1,0.0499,0.201,0.0,0.0748,0.317,127.89200000000001,178815,Slow Dance (feat. Ava Max) - AJ Mitchell
9457,used to be,AJ Mitchell,6Vt5LdwSUvbcDfWThqnBK5,0.47,0.45799999999999996,5,-6.546,1,0.0421,0.465,0.0,0.10800000000000001,0.21,118.19,174785,Used to Be - AJ Mitchell
9458,let me down slowly,Alec Benjamin,2qxmye6gAegTMjLKEBoR3d,0.652,0.557,1,-5.7139999999999995,0,0.0318,0.74,0.0,0.124,0.483,150.07299999999998,169354,Let Me Down Slowly - Alec Benjamin
9459,water fountain,Alec Benjamin,4IhKLu7Vk3j2TLmnFPl6To,0.723,0.504,8,-5.572,1,0.0392,0.38799999999999996,7.4e-05,0.087,0.551,133.975,218893,Water Fountain - Alec Benjamin
9460,if we have each other,Alec Benjamin,7pT6WSg4PCt4mr5ZFyUfsF,0.6559999999999999,0.5770000000000001,10,-5.566,0,0.0802,0.698,0.0,0.29600000000000004,0.861,173.09400000000002,181522,If We Have Each Other - Alec Benjamin
9461,if i killed someone for you,Alec Benjamin,0WHi11uzahqpEtPGYCW6oQ,0.514,0.605,7,-5.3629999999999995,1,0.0337,0.774,2.91e-06,0.121,0.409,120.89399999999999,185123,If I Killed Someone For You - Alec Benjamin
9462,boy in the bubble,Alec Benjamin,60cYr5uuMoxvyuIx45rGEW,0.8170000000000001,0.578,11,-7.579,0,0.0824,0.22399999999999998,0.00103,0.251,0.851,143.982,181705,Boy In The Bubble - Alec Benjamin
9463,jesus in la,Alec Benjamin,0uLPKDuIhkIhttiwezNdiG,0.787,0.5579999999999999,0,-5.237,1,0.0414,0.664,0.0,0.34700000000000003,0.706,94.04899999999999,171539,Jesus in LA - Alec Benjamin
